,id,base,exp,tau,type,strike,bid,ask,last_deal,th_price,sigma,underlying_price
0,RIM0,RTS,18-06-20,35,,,108550,108560,108550,,,
1,SiM0,Si,18-06-20,35,,,74444,74445,74443,,,
2,RI030000BE0,RIM0,21-05-20,7,Call,30000.0,0,0,0,78610.0,116.621,108550.0
3,RI032500BE0,RIM0,21-05-20,7,Call,32500.0,0,0,0,76110.0,116.624,108550.0
4,RI035000BE0,RIM0,21-05-20,7,Call,35000.0,0,0,0,73610.0,116.627,108550.0
5,RI037500BE0,RIM0,21-05-20,7,Call,37500.0,0,0,0,71110.0,116.63,108550.0
6,RI040000BE0,RIM0,21-05-20,7,Call,40000.0,0,0,0,68610.0,116.632,108550.0
7,RI042500BE0,RIM0,21-05-20,7,Call,42500.0,0,0,0,66110.0,116.631,108550.0
8,RI045000BE0,RIM0,21-05-20,7,Call,45000.0,0,0,0,63610.0,116.622,108550.0
9,RI047500BE0,RIM0,21-05-20,7,Call,47500.0,0,0,0,61110.0,116.596,108550.0
10,RI050000BE0,RIM0,21-05-20,7,Call,50000.0,0,0,0,58610.0,116.536,108550.0
11,RI052500BE0,RIM0,21-05-20,7,Call,52500.0,0,0,0,56110.0,116.416,108550.0
12,RI055000BE0,RIM0,21-05-20,7,Call,55000.0,0,0,0,53610.0,116.194,108550.0
13,RI057500BE0,RIM0,21-05-20,7,Call,57500.0,0,0,0,51110.0,115.818,108550.0
14,RI060000BE0,RIM0,21-05-20,7,Call,60000.0,0,0,0,48610.0,115.219,108550.0
15,RI062500BE0,RIM0,21-05-20,7,Call,62500.0,0,0,0,46110.0,114.321,108550.0
16,RI065000BE0,RIM0,21-05-20,7,Call,65000.0,0,0,0,43610.0,113.038,108550.0
17,RI067500BE0,RIM0,21-05-20,7,Call,67500.0,0,0,0,41110.0,111.289,108550.0
18,RI070000BE0,RIM0,21-05-20,7,Call,70000.0,0,0,0,38620.0,109.003,108550.0
19,RI072500BE0,RIM0,21-05-20,7,Call,72500.0,0,0,0,36120.0,106.128,108550.0
20,RI075000BE0,RIM0,21-05-20,7,Call,75000.0,0,0,0,33630.0,102.637,108550.0
21,RI077500BE0,RIM0,21-05-20,7,Call,77500.0,0,0,0,31140.0,98.536,108550.0
22,RI080000BE0,RIM0,21-05-20,7,Call,80000.0,0,0,0,28650.0,93.864,108550.0
23,RI082500BE0,RIM0,21-05-20,7,Call,82500.0,0,0,0,26160.0,88.692,108550.0
24,RI085000BE0,RIM0,21-05-20,7,Call,85000.0,0,0,0,23680.0,83.124,108550.0
25,RI087500BE0,RIM0,21-05-20,7,Call,87500.0,0,0,0,21200.0,77.287,108550.0
26,RI090000BE0,RIM0,21-05-20,7,Call,90000.0,8800,149990,0,18720.0,71.326,108550.0
27,RI092500BE0,RIM0,21-05-20,7,Call,92500.0,15980,16390,0,16250.0,65.395,108550.0
28,RI095000BE0,RIM0,21-05-20,7,Call,95000.0,13550,13960,0,13800.0,59.649,108550.0
29,RI097500BE0,RIM0,21-05-20,7,Call,97500.0,11140,11490,0,11370.0,54.236,108550.0
30,RI100000BE0,RIM0,21-05-20,7,Call,100000.0,8780,9190,10000,9010.0,49.292,108550.0
31,RI102500BE0,RIM0,21-05-20,7,Call,102500.0,6520,6930,6000,6740.0,44.937,108550.0
32,RI105000BE0,RIM0,21-05-20,7,Call,105000.0,4550,4770,4100,4660.0,41.273,108550.0
33,RI107500BE0,RIM0,21-05-20,7,Call,107500.0,2890,2980,3000,2900.0,38.392,108550.0
34,RI110000BE0,RIM0,21-05-20,7,Call,110000.0,1540,1590,1620,1580.0,36.392,108550.0
35,RI112500BE0,RIM0,21-05-20,7,Call,112500.0,680,740,700,760.0,35.448,108550.0
36,RI115000BE0,RIM0,21-05-20,7,Call,115000.0,270,310,280,350.0,35.978,108550.0
37,RI117500BE0,RIM0,21-05-20,7,Call,117500.0,130,140,140,180.0,38.036,108550.0
38,RI120000BE0,RIM0,21-05-20,7,Call,120000.0,60,90,80,90.0,40.048,108550.0
39,RI122500BE0,RIM0,21-05-20,7,Call,122500.0,20,40,30,50.0,41.951,108550.0
40,RI125000BE0,RIM0,21-05-20,7,Call,125000.0,20,40,30,30.0,44.122,108550.0
41,RI127500BE0,RIM0,21-05-20,7,Call,127500.0,20,40,20,20.0,46.656,108550.0
